 x,    y,    V
    0.00000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.00000E+00,    0.00000E+00,        0.00000
    0.10000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.15000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.20000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.25000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.30000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.35000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.40000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.45000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.50000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.55000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.60000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.65000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.70000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.75000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.80000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.85000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.90000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.95000E+00,    0.00000E+00,    0.00000E+00,        0.00000
    0.10000E+01,    0.00000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.50000E-01,    0.00000E+00,        0.00000
    0.50000E-01,    0.50000E-01,   -0.20636E-02,       -0.00002
    0.10000E+00,    0.50000E-01,   -0.29341E-02,       -0.00004
    0.15000E+00,    0.50000E-01,   -0.34478E-02,       -0.00005
    0.20000E+00,    0.50000E-01,   -0.39028E-02,       -0.00005
    0.25000E+00,    0.50000E-01,   -0.43839E-02,       -0.00003
    0.30000E+00,    0.50000E-01,   -0.48636E-02,       -0.00002
    0.35000E+00,    0.50000E-01,   -0.52792E-02,        0.00000
    0.40000E+00,    0.50000E-01,   -0.55851E-02,        0.00002
    0.45000E+00,    0.50000E-01,   -0.57658E-02,        0.00002
    0.50000E+00,    0.50000E-01,   -0.58249E-02,        0.00003
    0.55000E+00,    0.50000E-01,   -0.57658E-02,        0.00002
    0.60000E+00,    0.50000E-01,   -0.55851E-02,        0.00002
    0.65000E+00,    0.50000E-01,   -0.52792E-02,        0.00000
    0.70000E+00,    0.50000E-01,   -0.48636E-02,       -0.00002
    0.75000E+00,    0.50000E-01,   -0.43839E-02,       -0.00003
    0.80000E+00,    0.50000E-01,   -0.39028E-02,       -0.00005
    0.85000E+00,    0.50000E-01,   -0.34478E-02,       -0.00005
    0.90000E+00,    0.50000E-01,   -0.29341E-02,       -0.00004
    0.95000E+00,    0.50000E-01,   -0.20636E-02,       -0.00002
    0.10000E+01,    0.50000E-01,    0.00000E+00,        0.00000
    0.00000E+00,    0.10000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.10000E+00,   -0.24547E-02,       -0.00006
    0.10000E+00,    0.10000E+00,   -0.36116E-02,       -0.00010
    0.15000E+00,    0.10000E+00,   -0.43805E-02,       -0.00012
    0.20000E+00,    0.10000E+00,   -0.52343E-02,       -0.00011
    0.25000E+00,    0.10000E+00,   -0.62532E-02,       -0.00008
    0.30000E+00,    0.10000E+00,   -0.72919E-02,       -0.00004
    0.35000E+00,    0.10000E+00,   -0.81713E-02,       -0.00000
    0.40000E+00,    0.10000E+00,   -0.87898E-02,        0.00002
    0.45000E+00,    0.10000E+00,   -0.91400E-02,        0.00004
    0.50000E+00,    0.10000E+00,   -0.92511E-02,        0.00004
    0.55000E+00,    0.10000E+00,   -0.91400E-02,        0.00004
    0.60000E+00,    0.10000E+00,   -0.87898E-02,        0.00002
    0.65000E+00,    0.10000E+00,   -0.81713E-02,       -0.00000
    0.70000E+00,    0.10000E+00,   -0.72919E-02,       -0.00004
    0.75000E+00,    0.10000E+00,   -0.62532E-02,       -0.00008
    0.80000E+00,    0.10000E+00,   -0.52343E-02,       -0.00011
    0.85000E+00,    0.10000E+00,   -0.43805E-02,       -0.00012
    0.90000E+00,    0.10000E+00,   -0.36116E-02,       -0.00010
    0.95000E+00,    0.10000E+00,   -0.24547E-02,       -0.00006
    0.10000E+01,    0.10000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.15000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.15000E+00,   -0.15186E-02,       -0.00012
    0.10000E+00,    0.15000E+00,   -0.19979E-02,       -0.00020
    0.15000E+00,    0.15000E+00,   -0.25750E-02,       -0.00024
    0.20000E+00,    0.15000E+00,   -0.38144E-02,       -0.00021
    0.25000E+00,    0.15000E+00,   -0.55844E-02,       -0.00015
    0.30000E+00,    0.15000E+00,   -0.74104E-02,       -0.00008
    0.35000E+00,    0.15000E+00,   -0.88414E-02,       -0.00002
    0.40000E+00,    0.15000E+00,   -0.97549E-02,        0.00002
    0.45000E+00,    0.15000E+00,   -0.10223E-01,        0.00004
    0.50000E+00,    0.15000E+00,   -0.10365E-01,        0.00005
    0.55000E+00,    0.15000E+00,   -0.10223E-01,        0.00004
    0.60000E+00,    0.15000E+00,   -0.97549E-02,        0.00002
    0.65000E+00,    0.15000E+00,   -0.88414E-02,       -0.00002
    0.70000E+00,    0.15000E+00,   -0.74104E-02,       -0.00008
    0.75000E+00,    0.15000E+00,   -0.55844E-02,       -0.00015
    0.80000E+00,    0.15000E+00,   -0.38144E-02,       -0.00021
    0.85000E+00,    0.15000E+00,   -0.25750E-02,       -0.00024
    0.90000E+00,    0.15000E+00,   -0.19979E-02,       -0.00020
    0.95000E+00,    0.15000E+00,   -0.15186E-02,       -0.00012
    0.10000E+01,    0.15000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.20000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.20000E+00,    0.95472E-03,       -0.00021
    0.10000E+00,    0.20000E+00,    0.24652E-02,       -0.00036
    0.15000E+00,    0.20000E+00,    0.26462E-02,       -0.00042
    0.20000E+00,    0.20000E+00,    0.84116E-03,       -0.00036
    0.25000E+00,    0.20000E+00,   -0.24520E-02,       -0.00024
    0.30000E+00,    0.20000E+00,   -0.55246E-02,       -0.00011
    0.35000E+00,    0.20000E+00,   -0.76154E-02,       -0.00003
    0.40000E+00,    0.20000E+00,   -0.86136E-02,        0.00002
    0.45000E+00,    0.20000E+00,   -0.90798E-02,        0.00004
    0.50000E+00,    0.20000E+00,   -0.92166E-02,        0.00004
    0.55000E+00,    0.20000E+00,   -0.90798E-02,        0.00004
    0.60000E+00,    0.20000E+00,   -0.86136E-02,        0.00002
    0.65000E+00,    0.20000E+00,   -0.76154E-02,       -0.00003
    0.70000E+00,    0.20000E+00,   -0.55246E-02,       -0.00011
    0.75000E+00,    0.20000E+00,   -0.24520E-02,       -0.00024
    0.80000E+00,    0.20000E+00,    0.84116E-03,       -0.00036
    0.85000E+00,    0.20000E+00,    0.26462E-02,       -0.00042
    0.90000E+00,    0.20000E+00,    0.24652E-02,       -0.00036
    0.95000E+00,    0.20000E+00,    0.95472E-03,       -0.00021
    0.10000E+01,    0.20000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.25000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.25000E+00,    0.53870E-02,       -0.00035
    0.10000E+00,    0.25000E+00,    0.10789E-01,       -0.00062
    0.15000E+00,    0.25000E+00,    0.13513E-01,       -0.00074
    0.20000E+00,    0.25000E+00,    0.94238E-02,       -0.00058
    0.25000E+00,    0.25000E+00,    0.30615E-02,       -0.00033
    0.30000E+00,    0.25000E+00,   -0.30961E-02,       -0.00009
    0.35000E+00,    0.25000E+00,   -0.47233E-02,       -0.00002
    0.40000E+00,    0.25000E+00,   -0.54088E-02,        0.00001
    0.45000E+00,    0.25000E+00,   -0.57056E-02,        0.00002
    0.50000E+00,    0.25000E+00,   -0.57904E-02,        0.00003
    0.55000E+00,    0.25000E+00,   -0.57056E-02,        0.00002
    0.60000E+00,    0.25000E+00,   -0.54088E-02,        0.00001
    0.65000E+00,    0.25000E+00,   -0.47233E-02,       -0.00002
    0.70000E+00,    0.25000E+00,   -0.30961E-02,       -0.00009
    0.75000E+00,    0.25000E+00,    0.30615E-02,       -0.00033
    0.80000E+00,    0.25000E+00,    0.94238E-02,       -0.00058
    0.85000E+00,    0.25000E+00,    0.13513E-01,       -0.00074
    0.90000E+00,    0.25000E+00,    0.10789E-01,       -0.00062
    0.95000E+00,    0.25000E+00,    0.53870E-02,       -0.00035
    0.10000E+01,    0.25000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.30000E+00,    0.12210E-01,       -0.00054
    0.10000E+00,    0.30000E+00,    0.24132E-01,       -0.00100
    0.15000E+00,    0.30000E+00,    0.32422E-01,       -0.00126
    0.20000E+00,    0.30000E+00,    0.32779E-01,       -0.00120
    0.25000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.30000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.35000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.40000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.45000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.50000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.55000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.60000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.65000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.70000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.75000E+00,    0.30000E+00,    0.00000E+00,        0.00000
    0.80000E+00,    0.30000E+00,    0.32779E-01,       -0.00120
    0.85000E+00,    0.30000E+00,    0.32422E-01,       -0.00126
    0.90000E+00,    0.30000E+00,    0.24132E-01,       -0.00100
    0.95000E+00,    0.30000E+00,    0.12210E-01,       -0.00054
    0.10000E+01,    0.30000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.35000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.35000E+00,    0.21672E-01,       -0.00079
    0.10000E+00,    0.35000E+00,    0.43105E-01,       -0.00149
    0.15000E+00,    0.35000E+00,    0.61277E-01,       -0.00201
    0.20000E+00,    0.35000E+00,    0.71620E-01,       -0.00220
    0.25000E+00,    0.35000E+00,    0.78182E-01,       -0.00226
    0.30000E+00,    0.35000E+00,    0.82984E-01,       -0.00227
    0.35000E+00,    0.35000E+00,    0.90020E-01,       -0.00240
    0.40000E+00,    0.35000E+00,    0.95532E-01,       -0.00251
    0.45000E+00,    0.35000E+00,    0.98933E-01,       -0.00258
    0.50000E+00,    0.35000E+00,    0.10007E+00,       -0.00260
    0.55000E+00,    0.35000E+00,    0.98933E-01,       -0.00258
    0.60000E+00,    0.35000E+00,    0.95532E-01,       -0.00251
    0.65000E+00,    0.35000E+00,    0.90020E-01,       -0.00240
    0.70000E+00,    0.35000E+00,    0.82984E-01,       -0.00227
    0.75000E+00,    0.35000E+00,    0.78182E-01,       -0.00226
    0.80000E+00,    0.35000E+00,    0.71620E-01,       -0.00220
    0.85000E+00,    0.35000E+00,    0.61277E-01,       -0.00201
    0.90000E+00,    0.35000E+00,    0.43105E-01,       -0.00149
    0.95000E+00,    0.35000E+00,    0.21672E-01,       -0.00079
    0.10000E+01,    0.35000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.40000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.40000E+00,    0.33705E-01,       -0.00107
    0.10000E+00,    0.40000E+00,    0.67557E-01,       -0.00205
    0.15000E+00,    0.40000E+00,    0.99047E-01,       -0.00287
    0.20000E+00,    0.40000E+00,    0.12660E+00,       -0.00350
    0.25000E+00,    0.40000E+00,    0.14962E+00,       -0.00396
    0.30000E+00,    0.40000E+00,    0.16878E+00,       -0.00431
    0.35000E+00,    0.40000E+00,    0.18415E+00,       -0.00459
    0.40000E+00,    0.40000E+00,    0.19554E+00,       -0.00481
    0.45000E+00,    0.40000E+00,    0.20240E+00,       -0.00495
    0.50000E+00,    0.40000E+00,    0.20469E+00,       -0.00499
    0.55000E+00,    0.40000E+00,    0.20240E+00,       -0.00495
    0.60000E+00,    0.40000E+00,    0.19554E+00,       -0.00481
    0.65000E+00,    0.40000E+00,    0.18415E+00,       -0.00459
    0.70000E+00,    0.40000E+00,    0.16878E+00,       -0.00431
    0.75000E+00,    0.40000E+00,    0.14962E+00,       -0.00396
    0.80000E+00,    0.40000E+00,    0.12660E+00,       -0.00350
    0.85000E+00,    0.40000E+00,    0.99047E-01,       -0.00287
    0.90000E+00,    0.40000E+00,    0.67557E-01,       -0.00205
    0.95000E+00,    0.40000E+00,    0.33705E-01,       -0.00107
    0.10000E+01,    0.40000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.45000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.45000E+00,    0.47934E-01,       -0.00134
    0.10000E+00,    0.45000E+00,    0.96618E-01,       -0.00260
    0.15000E+00,    0.45000E+00,    0.14410E+00,       -0.00371
    0.20000E+00,    0.45000E+00,    0.18827E+00,       -0.00464
    0.25000E+00,    0.45000E+00,    0.22726E+00,       -0.00538
    0.30000E+00,    0.45000E+00,    0.25964E+00,       -0.00595
    0.35000E+00,    0.45000E+00,    0.28468E+00,       -0.00639
    0.40000E+00,    0.45000E+00,    0.30220E+00,       -0.00670
    0.45000E+00,    0.45000E+00,    0.31246E+00,       -0.00688
    0.50000E+00,    0.45000E+00,    0.31582E+00,       -0.00694
    0.55000E+00,    0.45000E+00,    0.31246E+00,       -0.00688
    0.60000E+00,    0.45000E+00,    0.30220E+00,       -0.00670
    0.65000E+00,    0.45000E+00,    0.28468E+00,       -0.00639
    0.70000E+00,    0.45000E+00,    0.25964E+00,       -0.00595
    0.75000E+00,    0.45000E+00,    0.22726E+00,       -0.00538
    0.80000E+00,    0.45000E+00,    0.18827E+00,       -0.00464
    0.85000E+00,    0.45000E+00,    0.14410E+00,       -0.00371
    0.90000E+00,    0.45000E+00,    0.96618E-01,       -0.00260
    0.95000E+00,    0.45000E+00,    0.47934E-01,       -0.00134
    0.10000E+01,    0.45000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.50000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.50000E+00,    0.63658E-01,       -0.00157
    0.10000E+00,    0.50000E+00,    0.12908E+00,       -0.00306
    0.15000E+00,    0.50000E+00,    0.19465E+00,       -0.00437
    0.20000E+00,    0.50000E+00,    0.25741E+00,       -0.00548
    0.25000E+00,    0.50000E+00,    0.31362E+00,       -0.00637
    0.30000E+00,    0.50000E+00,    0.35993E+00,       -0.00706
    0.35000E+00,    0.50000E+00,    0.39466E+00,       -0.00757
    0.40000E+00,    0.50000E+00,    0.41793E+00,       -0.00792
    0.45000E+00,    0.50000E+00,    0.43104E+00,       -0.00813
