 x,    y,    V
    0.50000E+00,    0.50000E+00,    0.43524E+00,       -0.00820
    0.55000E+00,    0.50000E+00,    0.43104E+00,       -0.00813
    0.60000E+00,    0.50000E+00,    0.41793E+00,       -0.00792
    0.65000E+00,    0.50000E+00,    0.39466E+00,       -0.00757
    0.70000E+00,    0.50000E+00,    0.35993E+00,       -0.00706
    0.75000E+00,    0.50000E+00,    0.31362E+00,       -0.00637
    0.80000E+00,    0.50000E+00,    0.25741E+00,       -0.00548
    0.85000E+00,    0.50000E+00,    0.19465E+00,       -0.00437
    0.90000E+00,    0.50000E+00,    0.12908E+00,       -0.00306
    0.95000E+00,    0.50000E+00,    0.63658E-01,       -0.00157
    0.10000E+01,    0.50000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.55000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.55000E+00,    0.79607E-01,       -0.00174
    0.10000E+00,    0.55000E+00,    0.16305E+00,       -0.00336
    0.15000E+00,    0.55000E+00,    0.24958E+00,       -0.00476
    0.20000E+00,    0.55000E+00,    0.33514E+00,       -0.00590
    0.25000E+00,    0.55000E+00,    0.41226E+00,       -0.00676
    0.30000E+00,    0.55000E+00,    0.47424E+00,       -0.00741
    0.35000E+00,    0.55000E+00,    0.51796E+00,       -0.00789
    0.40000E+00,    0.55000E+00,    0.54525E+00,       -0.00822
    0.45000E+00,    0.55000E+00,    0.55964E+00,       -0.00842
    0.50000E+00,    0.55000E+00,    0.56412E+00,       -0.00849
    0.55000E+00,    0.55000E+00,    0.55964E+00,       -0.00842
    0.60000E+00,    0.55000E+00,    0.54525E+00,       -0.00822
    0.65000E+00,    0.55000E+00,    0.51796E+00,       -0.00789
    0.70000E+00,    0.55000E+00,    0.47424E+00,       -0.00741
    0.75000E+00,    0.55000E+00,    0.41226E+00,       -0.00676
    0.80000E+00,    0.55000E+00,    0.33514E+00,       -0.00590
    0.85000E+00,    0.55000E+00,    0.24958E+00,       -0.00476
    0.90000E+00,    0.55000E+00,    0.16305E+00,       -0.00336
    0.95000E+00,    0.55000E+00,    0.79607E-01,       -0.00174
    0.10000E+01,    0.55000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.60000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.60000E+00,    0.93666E-01,       -0.00182
    0.10000E+00,    0.60000E+00,    0.19431E+00,       -0.00348
    0.15000E+00,    0.60000E+00,    0.30616E+00,       -0.00481
    0.20000E+00,    0.60000E+00,    0.42251E+00,       -0.00574
    0.25000E+00,    0.60000E+00,    0.52993E+00,       -0.00631
    0.30000E+00,    0.60000E+00,    0.60977E+00,       -0.00670
    0.35000E+00,    0.60000E+00,    0.65980E+00,       -0.00701
    0.40000E+00,    0.60000E+00,    0.68579E+00,       -0.00726
    0.45000E+00,    0.60000E+00,    0.69861E+00,       -0.00742
    0.50000E+00,    0.60000E+00,    0.70249E+00,       -0.00747
    0.55000E+00,    0.60000E+00,    0.69861E+00,       -0.00742
    0.60000E+00,    0.60000E+00,    0.68579E+00,       -0.00726
    0.65000E+00,    0.60000E+00,    0.65980E+00,       -0.00701
    0.70000E+00,    0.60000E+00,    0.60977E+00,       -0.00670
    0.75000E+00,    0.60000E+00,    0.52993E+00,       -0.00631
    0.80000E+00,    0.60000E+00,    0.42251E+00,       -0.00574
    0.85000E+00,    0.60000E+00,    0.30616E+00,       -0.00481
    0.90000E+00,    0.60000E+00,    0.19431E+00,       -0.00348
    0.95000E+00,    0.60000E+00,    0.93666E-01,       -0.00182
    0.10000E+01,    0.60000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.65000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.65000E+00,    0.10295E+00,       -0.00182
    0.10000E+00,    0.65000E+00,    0.21622E+00,       -0.00344
    0.15000E+00,    0.65000E+00,    0.34928E+00,       -0.00461
    0.20000E+00,    0.65000E+00,    0.52444E+00,       -0.00484
    0.25000E+00,    0.65000E+00,    0.67765E+00,       -0.00469
    0.30000E+00,    0.65000E+00,    0.78701E+00,       -0.00439
    0.35000E+00,    0.65000E+00,    0.82226E+00,       -0.00453
    0.40000E+00,    0.65000E+00,    0.83874E+00,       -0.00466
    0.45000E+00,    0.65000E+00,    0.84643E+00,       -0.00475
    0.50000E+00,    0.65000E+00,    0.84871E+00,       -0.00477
    0.55000E+00,    0.65000E+00,    0.84643E+00,       -0.00475
    0.60000E+00,    0.65000E+00,    0.83874E+00,       -0.00466
    0.65000E+00,    0.65000E+00,    0.82226E+00,       -0.00453
    0.70000E+00,    0.65000E+00,    0.78701E+00,       -0.00439
    0.75000E+00,    0.65000E+00,    0.67765E+00,       -0.00469
    0.80000E+00,    0.65000E+00,    0.52444E+00,       -0.00484
    0.85000E+00,    0.65000E+00,    0.34928E+00,       -0.00461
    0.90000E+00,    0.65000E+00,    0.21622E+00,       -0.00344
    0.95000E+00,    0.65000E+00,    0.10295E+00,       -0.00182
    0.10000E+01,    0.65000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.70000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.70000E+00,    0.10480E+00,       -0.00175
    0.10000E+00,    0.70000E+00,    0.22130E+00,       -0.00329
    0.15000E+00,    0.70000E+00,    0.36319E+00,       -0.00431
    0.20000E+00,    0.70000E+00,    0.55101E+00,       -0.00434
    0.25000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.30000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.35000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.40000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.45000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.50000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.55000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.60000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.65000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.70000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.75000E+00,    0.70000E+00,    0.99944E+00,       -0.00000
    0.80000E+00,    0.70000E+00,    0.55101E+00,       -0.00434
    0.85000E+00,    0.70000E+00,    0.36319E+00,       -0.00431
    0.90000E+00,    0.70000E+00,    0.22130E+00,       -0.00329
    0.95000E+00,    0.70000E+00,    0.10480E+00,       -0.00175
    0.10000E+01,    0.70000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.75000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.75000E+00,    0.98064E-01,       -0.00162
    0.10000E+00,    0.75000E+00,    0.20660E+00,       -0.00305
    0.15000E+00,    0.75000E+00,    0.33519E+00,       -0.00404
    0.20000E+00,    0.75000E+00,    0.50627E+00,       -0.00411
    0.25000E+00,    0.75000E+00,    0.65590E+00,       -0.00382
    0.30000E+00,    0.75000E+00,    0.76224E+00,       -0.00341
    0.35000E+00,    0.75000E+00,    0.79509E+00,       -0.00346
    0.40000E+00,    0.75000E+00,    0.80983E+00,       -0.00353
    0.45000E+00,    0.75000E+00,    0.81647E+00,       -0.00358
    0.50000E+00,    0.75000E+00,    0.81839E+00,       -0.00360
    0.55000E+00,    0.75000E+00,    0.81647E+00,       -0.00358
    0.60000E+00,    0.75000E+00,    0.80983E+00,       -0.00353
    0.65000E+00,    0.75000E+00,    0.79509E+00,       -0.00346
    0.70000E+00,    0.75000E+00,    0.76224E+00,       -0.00341
    0.75000E+00,    0.75000E+00,    0.65590E+00,       -0.00382
    0.80000E+00,    0.75000E+00,    0.50627E+00,       -0.00411
    0.85000E+00,    0.75000E+00,    0.33519E+00,       -0.00404
    0.90000E+00,    0.75000E+00,    0.20660E+00,       -0.00305
    0.95000E+00,    0.75000E+00,    0.98064E-01,       -0.00162
    0.10000E+01,    0.75000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.80000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.80000E+00,    0.83771E-01,       -0.00142
    0.10000E+00,    0.80000E+00,    0.17481E+00,       -0.00271
    0.15000E+00,    0.80000E+00,    0.27762E+00,       -0.00368
    0.20000E+00,    0.80000E+00,    0.38573E+00,       -0.00430
    0.25000E+00,    0.80000E+00,    0.48592E+00,       -0.00460
    0.30000E+00,    0.80000E+00,    0.55967E+00,       -0.00478
    0.35000E+00,    0.80000E+00,    0.60486E+00,       -0.00492
    0.40000E+00,    0.80000E+00,    0.62734E+00,       -0.00505
    0.45000E+00,    0.80000E+00,    0.63804E+00,       -0.00514
    0.50000E+00,    0.80000E+00,    0.64121E+00,       -0.00517
    0.55000E+00,    0.80000E+00,    0.63804E+00,       -0.00514
    0.60000E+00,    0.80000E+00,    0.62734E+00,       -0.00505
    0.65000E+00,    0.80000E+00,    0.60486E+00,       -0.00492
    0.70000E+00,    0.80000E+00,    0.55967E+00,       -0.00478
    0.75000E+00,    0.80000E+00,    0.48592E+00,       -0.00460
    0.80000E+00,    0.80000E+00,    0.38573E+00,       -0.00430
    0.85000E+00,    0.80000E+00,    0.27762E+00,       -0.00368
    0.90000E+00,    0.80000E+00,    0.17481E+00,       -0.00271
    0.95000E+00,    0.80000E+00,    0.83771E-01,       -0.00142
    0.10000E+01,    0.80000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.85000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.85000E+00,    0.64428E-01,       -0.00116
    0.10000E+00,    0.85000E+00,    0.13315E+00,       -0.00222
    0.15000E+00,    0.85000E+00,    0.20583E+00,       -0.00312
    0.20000E+00,    0.85000E+00,    0.27881E+00,       -0.00380
    0.25000E+00,    0.85000E+00,    0.34492E+00,       -0.00429
    0.30000E+00,    0.85000E+00,    0.39766E+00,       -0.00463
    0.35000E+00,    0.85000E+00,    0.43406E+00,       -0.00487
    0.40000E+00,    0.85000E+00,    0.45603E+00,       -0.00504
    0.45000E+00,    0.85000E+00,    0.46720E+00,       -0.00514
    0.50000E+00,    0.85000E+00,    0.47060E+00,       -0.00517
    0.55000E+00,    0.85000E+00,    0.46720E+00,       -0.00514
    0.60000E+00,    0.85000E+00,    0.45603E+00,       -0.00504
    0.65000E+00,    0.85000E+00,    0.43406E+00,       -0.00487
    0.70000E+00,    0.85000E+00,    0.39766E+00,       -0.00463
    0.75000E+00,    0.85000E+00,    0.34492E+00,       -0.00429
    0.80000E+00,    0.85000E+00,    0.27881E+00,       -0.00380
    0.85000E+00,    0.85000E+00,    0.20583E+00,       -0.00312
    0.90000E+00,    0.85000E+00,    0.13315E+00,       -0.00222
    0.95000E+00,    0.85000E+00,    0.64428E-01,       -0.00116
    0.10000E+01,    0.85000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.90000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.90000E+00,    0.42778E-01,       -0.00082
    0.10000E+00,    0.90000E+00,    0.87942E-01,       -0.00158
    0.15000E+00,    0.90000E+00,    0.13450E+00,       -0.00226
    0.20000E+00,    0.90000E+00,    0.18008E+00,       -0.00281
    0.25000E+00,    0.90000E+00,    0.22133E+00,       -0.00324
    0.30000E+00,    0.90000E+00,    0.25514E+00,       -0.00356
    0.35000E+00,    0.90000E+00,    0.27996E+00,       -0.00378
    0.40000E+00,    0.90000E+00,    0.29605E+00,       -0.00393
    0.45000E+00,    0.90000E+00,    0.30480E+00,       -0.00402
    0.50000E+00,    0.90000E+00,    0.30753E+00,       -0.00405
    0.55000E+00,    0.90000E+00,    0.30480E+00,       -0.00402
    0.60000E+00,    0.90000E+00,    0.29605E+00,       -0.00393
    0.65000E+00,    0.90000E+00,    0.27996E+00,       -0.00378
    0.70000E+00,    0.90000E+00,    0.25514E+00,       -0.00356
    0.75000E+00,    0.90000E+00,    0.22133E+00,       -0.00324
    0.80000E+00,    0.90000E+00,    0.18008E+00,       -0.00281
    0.85000E+00,    0.90000E+00,    0.13450E+00,       -0.00226
    0.90000E+00,    0.90000E+00,    0.87942E-01,       -0.00158
    0.95000E+00,    0.90000E+00,    0.42778E-01,       -0.00082
    0.10000E+01,    0.90000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.95000E+00,    0.00000E+00,        0.00000
    0.50000E-01,    0.95000E+00,    0.20808E-01,       -0.00042
    0.10000E+00,    0.95000E+00,    0.43082E-01,       -0.00082
    0.15000E+00,    0.95000E+00,    0.65803E-01,       -0.00118
    0.20000E+00,    0.95000E+00,    0.87827E-01,       -0.00149
    0.25000E+00,    0.95000E+00,    0.10775E+00,       -0.00173
    0.30000E+00,    0.95000E+00,    0.12430E+00,       -0.00191
    0.35000E+00,    0.95000E+00,    0.13676E+00,       -0.00205
    0.40000E+00,    0.95000E+00,    0.14512E+00,       -0.00213
    0.45000E+00,    0.95000E+00,    0.14980E+00,       -0.00219
    0.50000E+00,    0.95000E+00,    0.15130E+00,       -0.00220
    0.55000E+00,    0.95000E+00,    0.14980E+00,       -0.00219
    0.60000E+00,    0.95000E+00,    0.14512E+00,       -0.00213
    0.65000E+00,    0.95000E+00,    0.13676E+00,       -0.00205
    0.70000E+00,    0.95000E+00,    0.12430E+00,       -0.00191
    0.75000E+00,    0.95000E+00,    0.10775E+00,       -0.00173
    0.80000E+00,    0.95000E+00,    0.87827E-01,       -0.00149
    0.85000E+00,    0.95000E+00,    0.65803E-01,       -0.00118
    0.90000E+00,    0.95000E+00,    0.43082E-01,       -0.00082
    0.95000E+00,    0.95000E+00,    0.20808E-01,       -0.00042
    0.10000E+01,    0.95000E+00,    0.00000E+00,        0.00000
    0.00000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.50000E-01,    0.10000E+01,    0.00000E+00,        0.00000
    0.10000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.15000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.20000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.25000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.30000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.35000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.40000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.45000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.50000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.55000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.60000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.65000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.70000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.75000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.80000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.85000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.90000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.95000E+00,    0.10000E+01,    0.00000E+00,        0.00000
    0.10000E+01,    0.10000E+01,    0.00000E+00,        0.00000
